Grade,Sex,Sad_Or_Hopeless,Suicide_Score
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,1,1
10,Female,1,0
10,Female,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,1
10,Male,0,1
10,Male,0,0
11,Male,1,0
10,Male,0,1
9,Male,0,0
9,Female,1,0
9,Male,0,1
9,Female,1,0
9,Female,1,1
9,Female,1,0
10,Male,0,0
9,Male,0,1
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,1,0
9,Male,0,0
9,Female,0,0
12,Male,0,0
12,Male,1,0
12,Male,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Male,1,1
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,1,0
12,Male,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
11,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
12,Male,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Female,0,0
11,Female,1,1
12,Female,1,0
11,Female,0,0
9,Male,0,0
9,Male,1,0
9,Male,1,0
9,Male,0,0
9,Male,1,0
9,Male,1,1
9,Male,1,0
9,Male,1,0
9,Male,0,0
9,Male,1,0
9,Male,1,0
9,Male,0,0
10,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
11,Male,0,0
11,Male,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Male,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,1,1
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,1,1
12,Male,0,0
12,Female,1,1
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,1
12,Female,1,0
12,Female,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Female,0,0
10,Female,0,1
10,Female,0,1
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,1,0
11,Female,0,1
11,Female,0,0
11,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,1,0
9,Female,1,0
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,1,0
9,Female,1,0
9,Female,1,1
9,Female,1,0
9,Female,0,0
9,Female,1,0
10,Female,1,1
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
11,Female,1,0
9,Male,0,0
11,Male,1,0
9,Male,0,0
9,Male,0,0
10,Male,1,0
10,Male,1,1
11,Male,1,1
10,Male,1,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,1,1
10,Female,1,1
10,Female,0,0
10,Male,0,0
11,Male,0,0
10,Male,0,0
10,Male,0,1
12,Male,1,0
12,Male,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
10,Female,1,1
10,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,1,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,1,1
10,Female,1,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,1,1
10,Female,1,0
12,Female,0,0
12,Female,1,1
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Male,1,1
12,Male,0,1
12,Male,0,0
12,Female,1,1
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,1,0
11,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
10,Male,0,0
9,Male,0,0
10,Female,0,1
10,Female,1,1
10,Female,1,0
10,Female,1,1
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Male,0,0
10,Male,1,0
11,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
12,Male,0,0
9,Male,0,0
9,Male,1,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,1,0
9,Female,1,0
9,Female,1,1
9,Female,1,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,1,1
11,Female,0,0
12,Male,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,1
10,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Male,0,0
10,Male,1,1
11,Female,1,0
11,Female,1,0
11,Female,0,0
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Female,1,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Male,0,0
9,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Female,1,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,1
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,1,0
11,Female,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,1
11,Male,0,0
11,Male,0,0
11,Female,1,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Female,1,0
9,Female,0,0
9,Female,1,1
9,Female,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,1,0
9,Female,1,1
9,Female,0,0
9,Female,1,0
9,Male,0,0
9,Male,0,1
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,1,0
9,Male,0,0
10,Male,0,0
10,Male,1,1
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Female,1,0
10,Female,0,1
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,1
12,Female,0,0
12,Female,0,0
12,Male,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
11,Female,0,1
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Female,0,1
11,Female,1,0
11,Female,0,0
11,Female,1,1
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Male,0,1
11,Male,0,0
11,Male,0,0
11,Male,1,1
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Male,1,1
10,Male,0,0
10,Male,0,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
11,Female,1,1
10,Female,0,0
11,Female,1,1
11,Female,0,0
11,Female,0,0
11,Female,1,0
12,Female,1,1
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
10,Male,0,1
11,Male,1,1
11,Male,0,0
11,Male,0,0
11,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
12,Male,0,0
11,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
11,Male,1,0
11,Female,1,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
11,Female,0,0
11,Female,1,1
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Male,1,1
11,Male,0,0
12,Male,0,0
11,Male,0,0
11,Male,0,1
11,Male,0,0
11,Male,0,0
11,Male,1,0
10,Male,0,1
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,1,1
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,1
12,Male,1,0
12,Male,1,1
12,Male,1,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,1
12,Male,0,0
12,Male,0,1
12,Male,1,1
12,Male,0,1
12,Male,0,1
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
11,Female,1,0
12,Female,0,0
12,Female,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,1,1
9,Male,0,0
9,Female,1,1
9,Female,1,0
9,Female,0,0
9,Female,1,1
9,Female,1,0
9,Female,1,0
9,Male,0,0
9,Male,1,0
9,Male,1,1
9,Male,0,0
9,Male,1,0
9,Male,1,0
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,1
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,1
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,1,0
9,Female,1,0
9,Female,0,0
11,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Male,0,1
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
10,Female,1,0
11,Male,0,0
10,Male,1,1
10,Male,0,0
10,Female,0,0
10,Female,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,0,0
10,Female,0,0
10,Male,1,0
10,Male,0,0
10,Female,0,0
9,Male,0,0
9,Male,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,1
9,Female,1,1
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
10,Male,0,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
10,Male,0,0
10,Male,0,1
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,1,0
10,Male,0,0
12,Female,1,1
12,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,1,1
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,1,1
12,Male,0,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
9,Female,1,0
9,Female,1,0
9,Female,1,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,1,1
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,1
9,Female,0,0
9,Female,0,0
11,Female,1,1
11,Female,1,1
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,1,0
11,Female,0,0
11,Female,1,1
11,Female,1,0
10,Female,0,0
10,Female,0,0
11,Female,0,0
10,Female,1,1
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,0,1
10,Female,1,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Male,1,0
10,Male,0,0
11,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
12,Male,0,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
9,Male,1,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
12,Male,0,0
12,Male,1,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Female,0,0
12,Female,0,1
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,1,1
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,1
12,Male,0,0
12,Male,1,0
12,Male,0,1
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,1,0
11,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
11,Female,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,0,1
11,Female,0,0
11,Male,0,1
11,Female,1,1
11,Female,0,0
11,Female,0,0
12,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
12,Female,0,0
11,Female,0,0
11,Female,0,0
9,Male,1,1
10,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,1
11,Male,0,0
11,Male,1,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,0,1
10,Female,1,0
10,Female,0,0
12,Female,1,0
10,Male,1,1
9,Male,1,0
10,Male,0,0
9,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Male,1,0
10,Male,0,1
10,Male,0,0
10,Male,0,0
10,Male,0,0
9,Male,0,0
10,Male,1,1
11,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Female,1,1
10,Female,1,1
10,Female,1,1
10,Female,1,0
10,Female,0,0
10,Female,1,0
10,Female,1,1
10,Female,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,1,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,1
9,Female,1,1
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Male,1,0
11,Male,1,1
10,Male,1,1
11,Male,0,0
11,Male,0,0
11,Male,1,1
11,Male,1,0
11,Female,0,1
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,1,1
11,Female,0,0
11,Female,1,0
10,Male,1,0
10,Female,1,0
10,Female,0,0
10,Female,1,1
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Male,0,0
10,Male,0,0
9,Male,0,1
10,Male,0,0
9,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
10,Female,1,0
9,Female,1,1
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,1
9,Female,1,1
9,Female,1,0
9,Female,0,1
9,Female,0,0
10,Male,0,0
9,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,0,1
10,Female,1,1
10,Female,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,1
10,Female,1,1
10,Female,1,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,1
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,1,0
12,Male,1,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,1,1
11,Female,1,0
11,Female,0,0
9,Male,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,1
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,1
11,Male,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,0,0
10,Female,1,1
10,Female,0,0
10,Female,1,1
10,Female,1,1
11,Female,0,0
10,Female,1,1
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
11,Male,0,1
11,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,1,0
9,Female,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,1,0
9,Male,1,0
9,Female,1,0
9,Female,1,1
9,Female,1,0
9,Female,1,0
9,Female,1,1
9,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,0,0
10,Female,0,0
10,Female,1,0
10,Male,0,0
10,Male,0,0
10,Male,1,1
10,Male,0,0
10,Male,0,1
10,Male,0,0
10,Male,1,1
10,Male,0,0
9,Male,0,0
10,Male,0,0
10,Male,0,0
10,Female,1,1
10,Female,1,0
10,Female,1,1
10,Female,1,0
10,Female,1,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
11,Female,1,0
10,Female,0,0
11,Male,0,0
11,Female,0,0
12,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,0,0
11,Female,0,0
12,Female,1,0
11,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,1,1
11,Male,0,0
11,Male,1,1
11,Male,0,0
10,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Female,0,0
9,Male,0,0
9,Male,1,0
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,1,0
9,Male,1,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
10,Male,0,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Female,0,1
10,Female,1,0
10,Female,1,1
10,Female,0,0
10,Female,0,1
10,Female,0,0
10,Female,0,0
10,Female,0,0
10,Female,1,0
12,Female,0,1
12,Female,1,1
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,1
12,Male,0,1
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,0,1
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Male,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,0,1
12,Female,1,0
12,Female,1,0
12,Female,0,0
12,Female,0,0
12,Female,1,0
12,Female,1,0
11,Female,1,1
10,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Female,1,0
11,Female,1,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,1
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Female,1,0
11,Female,0,0
10,Female,1,0
9,Male,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,1,1
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
10,Female,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
10,Male,0,0
11,Male,0,0
10,Male,0,0
10,Male,1,0
10,Male,0,0
11,Male,0,0
10,Male,1,0
10,Female,0,0
10,Female,1,0
10,Female,1,0
10,Female,1,0
10,Female,0,1
9,Male,0,0
9,Male,0,0
9,Male,1,0
10,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
11,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
12,Male,0,0
9,Female,0,0
9,Female,0,0
10,Female,1,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
10,Female,0,0
10,Female,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
12,Male,0,0
9,Male,1,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,1
9,Male,1,0
12,Male,0,0
12,Male,0,1
12,Male,0,0
12,Male,0,0
12,Male,1,0
12,Male,0,0
12,Male,1,0
12,Male,0,1
12,Female,1,1
12,Female,0,0
12,Female,1,0
12,Female,0,0
12,Female,1,0
12,Female,0,0
11,Female,1,1
11,Female,1,1
11,Female,0,0
11,Female,1,0
11,Female,1,0
11,Female,1,1
11,Female,1,1
11,Female,0,0
11,Female,0,0
11,Female,1,0
11,Female,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,0,0
11,Male,1,0
11,Male,0,1
11,Male,0,0
11,Male,1,0
11,Male,0,0
11,Male,0,0
11,Female,0,0
9,Male,0,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,0,0
10,Male,0,0
9,Male,1,1
9,Male,0,0
9,Female,1,0
9,Female,1,1
9,Male,0,0
9,Male,0,0
9,Male,0,0
9,Male,1,0
9,Female,0,0
9,Female,1,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
9,Female,0,0
